HANDLER_ID,REPORT_CYCLE,BR_GENERATOR,BR_TSDF,BR_GENERATE_TONS,BR_MANAGE_TONS,BR_SHIP_TONS,BR_RECEIVE_TONS,HD_GENERATOR,HD_GENERATOR_CONF,HD_TSDF,HD_TSDF_CONF
ALD079474037,2015,L,Y,33.933635,1.54795,31.96921,11.2654,L,FALSE,Y,FALSE
ALD079474037,2017,L,Y,23.90735,1.5133,19.33524,16.94715,L,FALSE,Y,FALSE
ALD079474037,2019,L,Y,25.6829,0,23.588,15.92465,L,FALSE,Y,FALSE
ALD079474037,2021,L,Y,19.06225,2.73405,13.16485,14.59135,L,FALSE,Y,FALSE
ALD079474037,2023,L,Y,11.78045,0,11.0121,20.24915,L,FALSE,Y,FALSE
ALD093179315,2015,L,N,17968.9114999,0,17964.6015,0,L,FALSE,Y,FALSE
ALD093179315,2017,L,N,13393.5030001,0,13394.1575,0,L,FALSE,N,FALSE
ALD093179315,2019,L,N,19632.7965001,0,8251.0895,0,L,FALSE,N,FALSE
ALD093179315,2021,L,N,14711.025,0,14710.509,0,L,FALSE,N,FALSE
ALD093179315,2023,L,N,10418.6275,0,10417.909,0,L,FALSE,N,FALSE
ALD094476793,2015,L,Y,9041.525235,4057.2522445,7626.0531965,8214.7259564,L,FALSE,Y,FALSE
ALD094476793,2017,L,Y,12136.311944,6183.5541836,10469.545553,10828.8254366,L,FALSE,Y,FALSE
ALD094476793,2019,L,Y,12781.682,7674.9205806,12781.682,14140.4763587,L,FALSE,Y,FALSE
ALD094476793,2021,L,Y,6077.533,5269.1975,11294.024429,7969.7075,L,FALSE,Y,FALSE
ALD094476793,2023,L,Y,5913.3225,5297.803,11104.275,8669.669,L,FALSE,Y,FALSE
ALD102066636,2015,L,N,289.4602335,0,289.4602335,0,L,FALSE,N,FALSE
ALD102066636,2017,L,N,300.2376981,0,300.2376981,0,L,FALSE,N,FALSE
ALD102066636,2019,L,N,296.964,0,296.964,0,L,FALSE,N,FALSE
ALD102066636,2021,L,N,206.7197248,0,206.7197248,0,L,FALSE,N,FALSE
ALD102066636,2023,L,N,228.6172334,0,228.6172334,0,L,FALSE,N,FALSE
ALD980839112,2015,L,N,120.69045,0,123.5831,0,L,FALSE,N,FALSE
ALD980839112,2017,L,N,118.5805,0,118.5805,0,L,FALSE,N,FALSE
ALD980839112,2019,L,N,152.6575,0,152.6575,0,L,FALSE,N,FALSE
ALD980839112,2021,L,N,89.3795,0,89.3795,0,L,FALSE,N,FALSE
ALD980839112,2023,L,N,145.3255,0,145.3255,0,L,FALSE,N,FALSE
ALD980843999,2015,L,N,93.736,0,93.736,0,L,FALSE,N,FALSE
ALD980843999,2017,L,N,116.645,0,116.645,0,L,FALSE,N,FALSE
ALD980843999,2019,L,N,99.2085,0,99.2085,0,L,FALSE,N,FALSE
ALD980843999,2021,L,N,78.807,0,78.807,0,L,FALSE,N,FALSE
ALD980843999,2023,L,N,74.916,0,74.916,0,L,FALSE,N,FALSE
ALD981020894,2015,L,Y,31.942245,5458.400805,10054.9967705,9487.917055,L,FALSE,Y,FALSE
ALD981020894,2017,N,Y,0,0,16983.0975,12741.892,L,FALSE,N,FALSE
ALD981020894,2019,N,Y,0,0,24534.548,16975.09575,L,FALSE,Y,FALSE
ALD981020894,2021,N,Y,0.5435,1.0845,21611.11988,14072.153,L,FALSE,Y,FALSE
ALD981020894,2023,L,Y,852.6595,0.338,28419.174,16127.364,L,FALSE,Y,FALSE
ALD981026677,2015,L,N,76.2,0,76.2,0,L,FALSE,N,FALSE
ALD981026677,2017,L,N,100.51,0,100.51,0,L,FALSE,N,FALSE
ALD981026677,2019,L,N,83.03,0,83.03,0,L,FALSE,N,FALSE
ALD981026677,2021,L,N,62.192,0,62.192,0,L,FALSE,N,FALSE
ALD981026677,2023,L,N,46.3505,0,46.3505,0,L,FALSE,N,FALSE
ALD981028798,2015,L,N,400.217,0,400.217,0,L,FALSE,N,FALSE
